[1006/155007:WARNING:raw_channel_win.cc(532)] WriteFile: The pipe is being closed. (0xE8)
[1006/155007:WARNING:channel.cc(359)] RawChannel write error
[1006/195536:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/195541:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232611:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232616:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232621:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232626:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232631:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232636:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232641:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232646:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232651:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232656:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232701:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232706:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232711:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232716:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232721:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232726:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232731:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232736:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232741:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232746:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232751:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232756:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232801:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232806:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232811:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232816:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232821:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232826:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232831:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232836:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232841:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232846:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232851:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232856:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232901:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232906:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232911:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232916:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232921:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1006/232926:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
